Time/S,Force/N
5.43,-0.2252976
5.44,-0.2249877
5.45,-0.2248764
5.46,-0.2251387
5.47,-0.2254804
5.48,-0.2254963
5.49,-0.2251943
5.5,-0.2249638
5.51,-0.2250751
5.52,-0.2254725
5.53,-0.2258301
5.54,-0.2257824
5.55,-0.2254327
5.56,-0.2251943
5.57,-0.2252976
5.58,-0.2256473
5.59,-0.2258937
5.6,-0.2257268
5.61,-0.2252738
5.62,-0.2249002
5.63,-0.22494
5.64,-0.2253373
5.65,-0.2257188
5.66,-0.2256155
5.67,-0.2251387
5.68,-0.2247493
5.69,-0.2248764
5.7,-0.2253056
5.71,-0.2255201
5.72,-0.2253373
5.73,-0.2250512
5.74,-0.2249877
5.75,-0.2251625
5.76,-0.2254327
5.77,-0.2256155
5.78,-0.2256076
5.79,-0.2254963
5.8,-0.2254089
5.81,-0.2254566
5.82,-0.2256473
5.83,-0.2257586
5.84,-0.2256155
5.85,-0.2252738
5.86,-0.2249638
5.87,-0.2249877
5.88,-0.2253373
5.89,-0.2255837
5.9,-0.2254963
5.91,-0.2251625
5.92,-0.2249161
5.93,-0.2250115
5.94,-0.2252976
5.95,-0.2254725
5.96,-0.2253215
5.97,-0.2249956
5.98,-0.224789
5.99,-0.2248287
6,-0.2250354
6.01,-0.2252738
6.02,-0.2252579
6.03,-0.2249161
6.04,-0.224638
6.05,-0.2248605
6.06,-0.2254486
6.07,-0.2257903
6.08,-0.225544
6.09,-0.2250274
6.1,-0.2248287
6.11,-0.2251704
6.12,-0.225695
6.13,-0.2258142
6.14,-0.2254486
6.15,-0.2250512
6.16,-0.2250989
6.17,-0.2254804
6.18,-0.2259652
6.19,-0.2270222
6.2,-0.2308051
6.21,-0.2426783
6.22,-0.2754688
6.23,-0.3558238
6.24,-0.5155643
6.25,-0.7590373
6.26,-1.047881
6.27,-1.332084
6.28,-1.580358
6.29,-1.775002
6.3,-1.904853
6.31,-1.973772
6.32,-2.002056
6.33,-2.012936
6.34,-2.020288
6.35,-2.027838
6.36,-2.034521
6.37,-2.038511
6.38,-2.039965
6.39,-2.042278
6.4,-2.049367
6.41,-2.061033
6.42,-2.072803
6.43,-2.080703
6.44,-2.085463
6.45,-2.090852
6.46,-2.097631
6.47,-2.103066
6.48,-2.106547
6.49,-2.110275
6.5,-2.114892
6.51,-2.118564
6.52,-2.12059
6.53,-2.123006
6.54,-2.12721
6.55,-2.131287
6.56,-2.13302
6.57,-2.133981
6.58,-2.136548
6.59,-2.139537
6.6,-2.140737
6.61,-2.140999
6.62,-2.142445
6.63,-2.144567
6.64,-2.145179
6.65,-2.144265
6.66,-2.143915
6.67,-2.14537
6.68,-2.147372
6.69,-2.148032
6.7,-2.147476
6.71,-2.147738
6.72,-2.149494
6.73,-2.150599
6.74,-2.148581
6.75,-2.144202
6.76,-2.141492
6.77,-2.14262
6.78,-2.143844
6.79,-2.141158
6.8,-2.137502
6.81,-2.137542
6.82,-2.13987
6.83,-2.140848
6.84,-2.138654
6.85,-2.132511
6.86,-2.124349
6.87,-2.118262
6.88,-2.115353
6.89,-2.113183
6.9,-2.111268
6.91,-2.111212
6.92,-2.112317
6.93,-2.112953
6.94,-2.112675
6.95,-2.110903
6.96,-2.107747
6.97,-2.105172
6.98,-2.104108
6.99,-2.102963
7,-2.100722
7.01,-2.099013
7.02,-2.098989
7.03,-2.099252
7.04,-2.098727
7.05,-2.098083
7.06,-2.097209
7.07,-2.094452
7.08,-2.089008
7.09,-2.083294
7.1,-2.081339
7.11,-2.083405
7.12,-2.085201
7.13,-2.083818
7.14,-2.080743
7.15,-2.079105
7.16,-2.079876
7.17,-2.080894
7.18,-2.079527
7.19,-2.076213
7.2,-2.073669
7.21,-2.073932
7.22,-2.076348
7.23,-2.077866
7.24,-2.076459
7.25,-2.073455
7.26,-2.070459
7.27,-2.06689
7.28,-2.063243
7.29,-2.060898
7.3,-2.05915
7.31,-2.057369
7.32,-2.056646
7.33,-2.056972
7.34,-2.05706
7.35,-2.056686
7.36,-2.055939
7.37,-2.054183
7.38,-2.051544
7.39,-2.050273
7.4,-2.052824
7.41,-2.058045
7.42,-2.061653
7.43,-2.061788
7.44,-2.060167
7.45,-2.058744
7.46,-2.058458
7.47,-2.058617
7.48,-2.057266
7.49,-2.054961
7.5,-2.054358
7.51,-2.055423
7.52,-2.055557
7.53,-2.05334
7.54,-2.049899
7.55,-2.048175
7.56,-2.049764
7.57,-2.052252
7.58,-2.052744
7.59,-2.051544
7.6,-2.050924
7.61,-2.05272
7.62,-2.056313
7.63,-2.058657
7.64,-2.058244
7.65,-2.057044
7.66,-2.056758
7.67,-2.056154
7.68,-2.054032
7.69,-2.051926
7.7,-2.052212
7.71,-2.05524
7.72,-2.058387
7.73,-2.05853
7.74,-2.056289
7.75,-2.055732
7.76,-2.058466
7.77,-2.061216
7.78,-2.061033
7.79,-2.059396
7.8,-2.059762
7.81,-2.063338
7.82,-2.068233
7.83,-2.071635
7.84,-2.072954
7.85,-2.073876
7.86,-2.07533
7.87,-2.075839
7.88,-2.074265
7.89,-2.072628
7.9,-2.07363
7.91,-2.076976
7.92,-2.080743
7.93,-2.083842
7.94,-2.085336
7.95,-2.084891
7.96,-2.084311
7.97,-2.085392
7.98,-2.088277
7.99,-2.092322
8,-2.096057
8.01,-2.098147
8.02,-2.098854
8.03,-2.098386
8.04,-2.096526
8.05,-2.094929
8.06,-2.09593
8.07,-2.098457
8.08,-2.099498
8.09,-2.099347
8.1,-2.100801
8.11,-2.103822
8.12,-2.105777
8.13,-2.106865
8.14,-2.110092
8.15,-2.115758
8.16,-2.120789
8.17,-2.12334
8.18,-2.125104
8.19,-2.127814
8.2,-2.13112
8.21,-2.134514
8.22,-2.137852
8.23,-2.139823
8.24,-2.139314
8.25,-2.137772
8.26,-2.13712
8.27,-2.136946
8.28,-2.135618
8.29,-2.133441
8.3,-2.13263
8.31,-2.134617
8.32,-2.13875
8.33,-2.142827
8.34,-2.144599
8.35,-2.14444
8.36,-2.144639
8.37,-2.145576
8.38,-2.14622
8.39,-2.147015
8.4,-2.149336
8.41,-2.153468
8.42,-2.158181
8.43,-2.161797
8.44,-2.163418
8.45,-2.163847
8.46,-2.164658
8.47,-2.166009
8.48,-2.166708
8.49,-2.166772
8.5,-2.168592
8.51,-2.173638
8.52,-2.17936
8.53,-2.182515
8.54,-2.184375
8.55,-2.188492
8.56,-2.194731
8.57,-2.19907
8.58,-2.199737
8.59,-2.199721
8.6,-2.202217
8.61,-2.20685
8.62,-2.210824
8.63,-2.212532
8.64,-2.213621
8.65,-2.216792
8.66,-2.222284
8.67,-2.227712
8.68,-2.230803
8.69,-2.23217
8.7,-2.235103
8.71,-2.241174
8.72,-2.246737
8.73,-2.247612
8.74,-2.245561
8.75,-2.2463
8.76,-2.25242
8.77,-2.260065
8.78,-2.263562
8.79,-2.262433
8.8,-2.261766
8.81,-2.265453
8.82,-2.271573
8.83,-2.275348
8.84,-2.275181
8.85,-2.273901
8.86,-2.274768
8.87,-2.277891
8.88,-2.281443
8.89,-2.284026
8.9,-2.285298
8.91,-2.286267
8.92,-2.28854
